zone_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2004,1,1,11235.33,10966.67,11011.33,11248.67,11376,11818,12382.67,12903.33,13022.67,12407.33,11777.33,10916,10070.67,9636.67,9012,8758.67,9420,11206,12100,12156.67,11950,11269.33,10774.67,9833.33
1,2004,1,2,9436.67,9358.67,9346,9659.33,9946.67,10714.67,11866.67,12726,13051.33,13364.67,13180,12376,12091.33,11364,10751.33,10298.67,10559.33,11818,12596.67,12433.33,12295.33,11720,10978,10172
1,2004,1,3,9626,9514.67,9406,9387.33,9850,10327.33,11024,12131.33,12739.33,12008,11466.67,10633.33,9985.33,9441.33,9004.67,8942.67,9217.33,10550,11330.67,10929.33,10270.67,9518.67,8876.67,8282.67
1,2004,1,4,7515.33,6943.33,6628.67,6572.67,6587.33,6832,7344,8520,10072,10453.33,10186.67,9736.67,9792.67,9761.33,9471.33,9076,9441.33,10824.67,11620,11478.67,11088.67,10158.67,9053.33,7818
1,2004,1,5,7166.67,6880.67,6738,6710,6946,8067.33,9898,10172.67,9363.33,9339.33,9554.67,9272,9320.67,9243.33,9230,9566.67,10334,11538,12524,12726,12794.67,12277.33,11337.33,10678.67
1,2004,1,6,10494.67,10454.67,10754.67,11174,11939.33,13489.33,15965.33,16526,15349.33,13742,12713.33,11631.33,11704,12337.33,12508,12774.67,14339.33,16876,18706.67,19178.67,19279.33,19102,18270.67,17671.33
1,2004,1,7,17342.67,17631.33,18190.67,18615.33,19420,21002,23266.67,23467.33,21603.33,19796,18198.67,16828.67,15654,14730,13744.67,14008.67,15784,18219.33,19790,19892,19870.67,19136,18046,17138.67
1,2004,1,8,16736,16748,16976,17143.33,17479.33,19034.67,21210,21526,19312,17136.67,15531.33,15393.33,15496,15387.33,14947.33,15255.33,16290.67,17703.33,18262.67,18324,17926.67,17019.33,15912.67,14852
1,2004,1,9,14116.67,14037.33,14160.67,14708,15350.67,17073.33,18146.67,18380,18281.33,17920.67,17716,17098.67,16653.33,16454.67,16636.67,16621.33,16998,18445.33,19189.33,18742,18207.33,17551.33,16644.67,15882.67
1,2004,1,10,15603.33,15671.33,16044.67,16524,16945.33,17754,19040,20161.33,21591.33,21284,19538.67,18011.33,16606,15462,14838,14971.33,15939.33,18343.33,19684,20048.67,20572,20465.33,20138.67,20037.33
1,2004,1,11,20269.33,20832,21615.33,22386.67,23042.67,24076,25016.67,26389.33,26154,23062,20080.67,17707.33,15903.33,14810,14230,14250.67,14680.67,16884.67,18066,18030,17961.33,17167.33,16542,15788.67
1,2004,1,12,15291.33,15332.67,15263.33,15490.67,15772,17082.67,18763.33,18783.33,16661.33,14501.33,13006,11600,10860,10157.33,9624,9417.33,10330,12326,13707.33,14208.67,14335.33,13752.67,12531.33,11798.67
1,2004,1,13,11509.33,11495.33,11659.33,11919.33,12284,13829.33,16028,16529.33,14998,13252.67,11652,10632.67,9952.67,9754,9279.33,9314.67,9986,12078,13861.33,14242,14309.33,13740.67,12756.67,12078.67
1,2004,1,14,11855.33,12025.33,12454.67,12974.67,14043.33,15761.33,18600,19163.33,17452,15154,13361.33,11964,11010,10524,10012.67,10232.67,11544,13822.67,15262.67,15354,15299.33,14717.33,13592.67,12222
1,2004,1,15,11426,11096,10802.67,10977.33,11556,13154,15571.33,16305.33,15012,14144.67,13564,12756.67,11952,11440.67,11011.33,11342,12588.67,14858.67,16642.67,17075.33,17409.33,17056,16035.33,15305.33
1,2004,1,16,15120.67,15316.67,15706,16128,17091.33,18369.33,20715.33,21308,19346.67,17697.33,15778,14677.33,14116,12768,12010,11964,13130.67,15208,16562,16694.67,16690.67,16279.33,15829.33,15371.33
1,2004,1,17,14861.33,14882,14985.33,15361.33,15564.67,15894.67,16675.33,17802,18226.67,17248,16007.33,14458.67,13381.33,12882,13066,13342,13843.33,14638.67,15018,14816.67,14447.33,13514,12810,12145.33
1,2004,1,18,11630.67,11390,11235.33,11344,11187.33,11316.67,11914.67,13250,14530,15071.33,14641.33,14151.33,13392.67,12978.67,12772,12547.33,12671.33,13623.33,14624.67,14681.33,14637.33,14072.67,13846.67,13246
1,2004,1,19,12830,13018,13382,13909.33,14749.33,16056.67,17584.67,18574.67,18561.33,17556.67,16515.33,15683.33,14680,13811.33,13326.67,13679.33,14446,17085.33,19168.67,20057.33,20148,19800.67,18935.33,17976
1,2004,1,20,17680.67,17900.67,18265.33,18671.33,19474,21238.67,23087.33,23368,20988.67,18705.33,17339.33,15874,14554,13689.33,13566,13896,14834,16928,18940.67,19420,19638.67,19037.33,18188,17255.33
1,2004,1,21,16854.67,16878,17010.67,17236.67,17941.33,19436.67,21961.33,22313.33,20446.67,19548.67,18768.67,18109.33,17477.33,16516,15484.67,14305.33,14632.67,16884.67,18707.33,18976,18956,18390.67,17291.33,16376
1,2004,1,22,16086,16244,16536.67,16780.67,17220,18476,20532,20250.67,17472,15070,13446.67,12348,11282.67,11328.67,11512,11990,12536.67,14360,15927.33,16289.33,16315.33,15894.67,11653.33,10848.67
1,2004,1,23,16187.33,14905.33,16364.67,17077.33,17940,19317.33,21916.67,22311.33,20393.33,18781.33,17290,15684,14472,13530.67,13043.33,12981.33,14088.67,15747.33,16954.67,17006.67,16783.33,16022,15126.67,14396
1,2004,1,24,13858,13890.67,14122.67,14110.67,14293.33,14670.67,15612,16633.33,16754.67,15513.33,14271.33,13466.67,13042,12209.33,11872.67,11774.67,12026,13536.67,14966,15272.67,15318,15172.67,15101.33,14554.67
1,2004,1,25,14712.67,14824,15474,15720.67,16312.67,17129.33,17803.33,19198,21012,21564,21598,21861.33,22167.33,22222,21938,22085.33,22356.67,23318,23650.67,23537.33,22769.33,21970,20857.33,20216.67
1,2004,1,26,19947.33,19969.33,20265.33,20547.33,20762.67,21312.67,22080,22939.33,23372.67,23280,23066,22364,21880.67,20870.67,20512,20366,20579.33,21377.33,21294,20524,19718,18791.33,17636,17008.67
1,2004,1,27,16533.33,16424.67,16591.33,16476,16950.67,17413.33,18179.33,18816,18908,18697.33,18551.33,18118,17756,17528.67,17069.33,16959.33,17510.67,18597.33,19178.67,18813.33,18457.33,17656.67,16982.67,16246.67
1,2004,1,28,16164,16602,17066,17480,18108,19572,21074,22012,21282,19565.33,18539.33,17447.33,16428.67,15505.33,15051.33,14730.67,15244.67,17158,18846,18816,18577.33,17888.67,16864.67,16209.33
1,2004,1,29,15791.33,15651.33,15687.33,15872.67,16274,17253.33,18255.33,18826,17606,16098,14771.33,13641.33,12875.33,12110,11381.33,11432.67,12146,14070,15703.33,16103.33,16078,15599.33,14491.33,13660
1,2004,1,30,13130.67,13062,13265.33,13480,14032.67,15230,16737.33,17166,16264.67,14451.33,13577.33,13128.67,12704.67,12276.67,12373.33,13639.33,15158,16709.33,18452,18747.33,19096.67,18994.67,18794,18529.33
1,2004,1,31,18690.67,19367.33,20124.67,20898,21847.33,22957.33,24393.33,25625.33,25062,23274,21176.67,19136.67,17150.67,15492,14210,13727.33,14154.67,15834.67,17690.67,18336.67,18380,18293.33,17566.67,17274.67
1,2004,2,1,16996,17250.67,17603.33,18135.33,18573.33,19290.67,20485.33,22074,22239.33,19764.67,17508,15658,14186,12740,11699.33,11460.67,11972.67,13420,15397.33,15809.33,16096.67,16132,16026.67,15838.67
1,2004,2,2,15460,15681.33,16196.67,16891.33,17812.67,19731.33,22473.33,23072.67,20770.67,19044.67,16876.67,14418,12984,12100.67,11917.33,12546,13544.67,15210,16614,16920.67,16257.33,15919.33,14948,13895.33
1,2004,2,3,13166.67,13218,13729.33,14231.33,14858,15920.67,16842.67,17394.67,17252.67,16972,16411.33,15344.67,14336.67,12566,11015.33,10786.67,11164,12627.33,14692.67,15323.33,15120.67,14914.67,13992,12982
1,2004,2,4,12479.33,12353.33,12572.67,12800.67,13437.33,15148.67,17593.33,18078,15922,13947.33,12554,11703.33,10651.33,9947.33,9470,9364,10338.67,12187.33,14412.67,15334,15654,15508.67,14880,14245.33
1,2004,2,5,14054,14259.33,14654.67,15047.33,15636,17089.33,19193.33,19661.33,18270,17239.33,15805.33,14572.67,13758.67,13718.67,14065.33,14701.33,15918.67,17312.67,18043.33,17972,17573.33,16756.67,15648,14694
1,2004,2,6,14604,14615.33,14712.67,14950,15196,16011.33,17502,17823.33,17719.33,17689.33,18020.67,17544.67,17046.67,16772.67,16399.33,16721.33,16990,17203.33,17427.33,16844,16056.67,15122.67,14234,13476
1,2004,2,7,12850.67,12502,12594.67,12652,13020.67,13322.67,14275.33,15560,16098,16171.33,15078,13946,13241.33,13083.33,13458.67,13796,14432.67,15608,16882,17001.33,16767.33,16314,16172.67,15810
1,2004,2,8,15213.33,15032,15210.67,15267.33,15869.33,16478.67,17156,18533.33,18746,17547.33,15827.33,14451.33,13520,12456.67,11446.67,11170.67,11356,12772.67,15366,16453.33,16646,16090,15392.67,14815.33
1,2004,2,9,14449.33,14443.33,14808.67,15318,16099.33,17758.67,19660.67,19916.67,18086.67,16674.67,15598.67,14406.67,13282.67,12812.67,12327.33,12814,13526.67,14618.67,16020,16194.67,15907.33,15182,14093.33,13174.67
1,2004,2,10,12865.33,12760,12946.67,12964.67,13374.67,14748.67,16542,16711.33,15149.33,14116.67,12907.33,11944,10849.33,10293.33,10011.33,10418.67,11093.33,12482,14290,14754,14612.67,14143.33,13074.67,12187.33
1,2004,2,11,11952.67,11984.67,11870.67,12045.33,12637.33,13949.33,16069.33,16516.67,15203.33,14252.67,13320,12095.33,11235.33,10779.33,10441.33,10760,11823.33,13238,14971.33,15277.33,15434,14890,13958,12924
1,2004,2,12,12278,12268.67,12404,12470,12959.33,14222.67,16200,16694,15342,14988.67,15367.33,14530,14110,13308,12895.33,12379.33,12568,13522,15670,16521.33,16736.67,16436.67,15418.67,14519.33
1,2004,2,13,14081.33,14002.67,14333.33,14383.33,14814,16032.67,18150,18146,15476.67,13308.67,12077.33,10698.67,9927.33,9401.33,9066.67,9068.67,9521.33,10780,12538.67,13276.67,13632.67,13410.67,12989.33,12066
1,2004,2,14,11382.67,11169.33,11344,11418.67,11719.33,12141.33,12984,14010.67,14959.33,14813.33,14321.33,13489.33,13134.67,12447.33,11924.67,12228,12514.67,13187.33,13754.67,13782.67,13366.67,13103.33,12800,12116.67
1,2004,2,15,12014,12100,12200,12609.33,13184.67,13583.33,14350.67,15685.33,16217.33,16043.33,15237.33,14444,14050.67,13298,12962.67,13237.33,13917.33,15321.33,16560.67,16502,16172,15758.67,15336,14980.67
1,2004,2,16,14640.67,14792,15290.67,15961.33,16426,17518.67,19021.33,20263.33,19112.67,17440.67,15890.67,14581.33,13566.67,12956.67,12604.67,12538,13056.67,14723.33,17388,18428.67,18530,18070.67,17318,16744.67
1,2004,2,17,16350,16403.33,16375.33,16488,16909.33,18056.67,19498,20185.33,19775.33,18809.33,17608.67,16770.67,15518.67,14292,12754,12212,12847.33,14727.33,16966.67,17614.67,17713.33,17388.67,16464.67,15974
1,2004,2,18,15956.67,16364,16801.33,17496.67,18262,19802.67,21988,21924,18695.33,15750.67,13530,11923.33,11014.67,10388,10074.67,10416.67,11179.33,12470,14802,15501.33,15630,15082.67,13823.33,12756.67
1,2004,2,19,12117.33,12161.33,12505.33,12871.33,13502.67,15004.67,17202,16942,14224,12511.33,11364,10310.67,9529.33,9032.67,8486,8546.67,8868.67,9765.33,11488.67,12298,12436.67,12155.33,11402,10735.33
1,2004,2,20,10454.67,10651.33,11180.67,11793.33,12390,14094.67,16597.33,17098.67,14629.33,12049.33,10471.33,9558.67,8986,8646,8210,8232,8744.67,9650.67,10608.67,10929.33,10812,10508,9720.67,9094.67
1,2004,2,21,8423.33,8167.33,8098,8103.33,8271.33,8630,9874.67,11295.33,12023.33,11826,11446,11275.33,11038,10453.33,10130,10304,10387.33,11216.67,12802,13303.33,13420,13346,12868,12210
1,2004,2,22,11768,11716,11879.33,12131.33,12468,13159.33,14214,15648,16126.67,15076,13815.33,12078.67,11154.67,10590.67,9960.67,9647.33,9880.67,10752,12567.33,13756.67,14025.33,13653.33,13006,12369.33
1,2004,2,23,12482,12809.33,13125.33,13436,14401.33,16081.33,18420,18736.67,16583.33,13912,12758.67,11749.33,10917.33,10268,9791.33,10182,11060.67,12333.33,13900.67,14356.67,14368.67,13584.67,12890.67,12033.33
