station_id,year,month,day,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2004,1,1,46,46,45,41,39,35,33,33,36,47,53,54,55,55,55,55,52,46,40,40,39,38,40,41
1,2004,1,2,43,44,46,46,47,47,47,47,47,47,47,49,52,56,54,56,57,53,50,47,46,45,45,45
1,2004,1,3,45,46,46,44,43,46,46,47,51,55,56,59,65,68,69,68,68,65,64,63,62,63,63,62
1,2004,1,4,63,62,62,62,60,60,60,62,60,64,64,66,71,70,71,72,71,68,67,67,65,64,65,64
1,2004,1,5,64,63,65,64,64,64,64,64,65,66,66,67,68,68,66,66,66,66,63,54,52,49,47,47
1,2004,1,6,47,46,45,43,41,41,39,39,40,43,45,44,45,46,46,46,45,39,39,39,38,36,32,32
1,2004,1,7,30,29,28,28,28,26,26,26,26,28,28,29,29,31,31,31,31,30,30,30,29,31,30,30
1,2004,1,8,29,26,24,22,22,22,24,22,25,31,35,37,37,36,36,35,35,34,35,35,37,35,35,34
1,2004,1,9,33,33,32,31,31,32,31,31,31,33,31,31,33,34,33,33,33,31,31,31,30,29,27,26
1,2004,1,10,24,22,21,20,19,19,17,17,15,15,19,19,19,22,22,20,20,20,18,18,18,18,18,18
1,2004,1,11,18,18,16,15,15,15,13,15,16,21,26,27,27,28,28,28,28,28,26,26,27,28,28,28
1,2004,1,12,28,30,30,32,34,34,,35,36,39,43,46,49,51,53,53,52,49,45,43,43,44,41,38
1,2004,1,13,34,30,28,28,29,29,31,31,36,43,47,49,49,53,54,55,54,52,48,44,41,39,39,38
1,2004,1,14,36,34,34,32,30,30,29,27,29,31,35,36,37,37,37,35,35,34,33,32,32,34,36,38
1,2004,1,15,39,40,40,42,42,40,39,38,38,36,32,32,32,31,31,31,31,29,28,29,28,28,30,29
1,2004,1,16,28,27,25,23,23,21,21,21,22,25,26,28,28,30,31,32,32,30,30,30,30,30,29,29
1,2004,1,17,29,28,27,27,26,26,26,26,28,30,34,34,35,35,37,35,35,34,34,34,34,34,34,36
1,2004,1,18,38,37,35,35,35,37,37,37,38,38,39,41,44,46,44,45,47,42,40,39,36,36,37,36
1,2004,1,19,35,34,32,30,29,29,27,27,28,30,31,31,33,33,33,35,34,32,30,30,30,29,28,28
1,2004,1,20,26,26,26,26,26,26,25,25,25,27,28,28,31,31,31,33,31,30,29,28,28,28,28,26
1,2004,1,21,26,26,26,22,22,22,22,22,25,27,28,28,29,31,32,31,31,30,27,23,21,21,21,22
1,2004,1,22,21,25,27,27,28,31,31,31,34,37,41,45,47,48,50,50,50,48,45,47,45,40,39,37
1,2004,1,23,33,32,29,27,25,23,22,21,23,26,27,28,28,29,30,30,29,29,24,23,22,24,25,27
1,2004,1,24,27,29,30,30,30,29,29,27,28,32,36,36,37,32,32,30,29,27,25,23,23,23,25,23
1,2004,1,25,23,23,23,21,20,20,19,18,18,19,20,20,20,22,22,22,21,21,22,22,21,22,22,23
1,2004,1,26,23,25,26,25,24,25,27,28,32,34,34,35,35,36,36,36,36,36,37,37,37,37,37,37
